polymer_id,hydrophobicity,surface_charge,surface_roughness,hbd,hba,elastic_modulus,antibiofilm
Poly_0103,2.1763227008712183,0.0,45.56949702222531,1.139689180278665,1.8736530310218553,1173.669714594998,0.010562506964920143
Poly_0436,2.5467464463497724,24.542375471303725,40.98064832691293,3.013218776779098,4.847968214653037,1538.545589875374,0.9782752753438816
Poly_0271,3.902199555233869,0.0,74.15233578882199,0.0,5.187413585346136,1430.067690709118,0.04020471566475648
Poly_0107,4.390103718793464,0.0,52.28294682215903,1.0029987320580045,2.0096396383553197,1345.598419491697,0.04647772525967091
Poly_0072,4.044295663939244,0.0,62.26038033563716,4.8216672527333815,2.1924367541376366,1047.8875559941653,0.02545895902558328
Poly_0021,3.924429922111359,0.0,27.263134065743277,2.9805548637881185,7.103928259305263,1111.3826349713027,0.0
Poly_0122,1.5699492234734225,0.0,60.600876317823655,3.0370738114321933,4.015539997732262,1140.694100325845,1.0264293681195678
Poly_0467,3.1636088043723665,0.0,29.53507703591262,2.0785041118581287,8.865985032959152,1682.60125856646,0.9859372175625457
Poly_0215,2.157621213827939,15.372592106198024,39.008997854316824,0.05157506267071467,6.972336017868075,1488.5703392427276,0.0
Poly_0331,2.463562318332835,0.0,53.3741813322785,4.888671301113626,3.0404825617708684,1223.471194281374,0.01595972457102105
Poly_0459,1.888299989565081,8.184116108857975,28.278177523835357,2.1420444621455417,2.039126230132452,1631.6118749005939,0.0
Poly_0088,2.762355763858605,0.0,58.91677844403816,0.022692165175550682,2.7421324161933542,1781.8595464009566,0.012315886179115568
Poly_0373,3.968235458999246,12.757166447382623,56.52817959883694,1.8922949523649522,6.856869664144124,1198.2365437474339,0.0020866070493303036
Poly_0100,2.284640602284315,0.0,57.45134287533931,0.031244778888549495,5.995507195167884,1673.2248295801724,0.0
Poly_0131,1.010311783345938,1.9566186853514438,80.40346994073491,1.0095744050008537,4.956699828316781,1208.7760559032556,0.0
Poly_0309,3.0487872866475065,8.669241619786654,49.561615567874775,5.113579031897588,2.871491282510314,1250.4087568218654,0.0010687843992962822
Poly_0344,1.9825201065311613,0.0,40.266594604379925,4.09883129298493,8.171008954201476,1682.5078252588582,1.0043498225237775
Poly_0492,3.975517323399587,0.0,39.562179213656215,0.08551254179149552,5.966532949892377,1241.0439863977422,0.0
Poly_0414,3.7345333106536374,0.0,47.3579434946724,2.8536749232729535,9.01560497556484,2124.9790164101523,0.013910494611114948
Poly_0386,2.6055517744578327,0.0,62.91783762652205,3.066078317680102,2.1155794808862396,1593.5358653633832,0.04558364355542761
Poly_0192,3.4380403057167723,4.077693235442327,36.35716799063177,5.127638831597789,2.071785594047937,2176.360251369781,0.0
Poly_0277,2.7128257403990883,0.0,48.40517400046285,3.029809477172314,4.057460251170653,1682.8586576432524,0.01757676568943532
